Date,Type,Time,Piece,Goals,Intent,Section,Tempo,AttemptsTotal,SuccessfulAttempts,UnsuccessfulAttempts,NeutralAttempts,Reflection
11/4/21,SessionStart,,,Practice 20 minutes and #52,,,,,,,,
11/4/21,Activity1,20,Two Hand,Height,Warm Up,Warm-Up,"[40,50]",15,8,5,2,Watch wrist
11/4/21,Activity 2,10,Two Hand,,,,40,5,3,1,1,
11/4/21,Activity2,10,Two Hand,,,,50,10,5,3,2,
11/4/21,Activity1,30,Wilcoxon #52,Doubles Consistency,Run 52-55 and 57-80,"[[52,55],[57,80]]","[40,50,20]",95,58,32,5,Hurts to play
11/4/21,Activity2,10,Wilcoxon #52,,,[52-55],40,25,12,11,2,
11/4/21,Activity2,10,Wilcoxon #52,,,[52-55],50,30,16,7,7,
11/4/21,Activity2,10,Wilcoxon #52,,,[57-80],20,40,30,1,9,
11/4/21,SessionEnd,100,"[Two Hand, Wilcoxon #52]",Goals Met,,,,55,132,60,28,
11/5/21,SessionStart,,,Practice 5 minutes and be happy,,,,,,,,Notes for next time: do this and that
11/5/21,Activity1,60,Warm-Up Etude,Increase height,Warm Up,"[[1,10],[2,5]]","[40,50,20]",85,,,,Height increasing
11/5/21,Activity2,20,Warm-Up Etude,,,"[1,10]",40,20,15,2,3,
11/5/21,Activity2,30,Warm-Up Etude,,,"[1,10]",50,24,21,2,1,
11/5/21,Activity2,10,Warm-Up Etude,,,"[2,5]",20,41,34,2,5,
11/5/21,Activity1,104,Wilcoxon #52,Musicality,Run 45-51,"[[45,51]]","[60,65,70]",2171,,,,Doubles Suck
11/5/21,Activity2,50,Wilcoxon #52,,,[45-51],60,207,125,81,1,
11/5/21,Activity2,50,Wilcoxon #52,,,[45-51],65,119,51,41,27,
11/5/21,Activity2,4,Wilcoxon #52,,,[45-51],70,1845,90,928,827,
11/5/21,SessionEnd,,,Goals Met,,,,2256,336,1056,864,Notes for next time: do that instead
,,,,,,,,,,,,

Date,Type,Time,Piece,Goals,Intent,Section,Tempo,AttemptsTotal,SuccessfulAttempts,UnsuccessfulAttempts,NeutralAttempts,Reflection
0,0,0,0,Practice for a bit,0,0,0,0,0,0,0,0
Date,Type,Time,Piece,Goals,Intent,Section,Tempo,AttemptsTotal,SuccessfulAttempts,UnsuccessfulAttempts,NeutralAttempts,Reflection
0,0,0,0,Practice for a bit,0,0,0,0,0,0,0,0
Date,Type,Time,Piece,Goals,Intent,Section,Tempo,AttemptsTotal,SuccessfulAttempts,UnsuccessfulAttempts,NeutralAttempts,Reflection
0,0,0,0,Practice for a bit,0,0,0,0,0,0,0,0
Date,Type,Time,Piece,Goals,Intent,Section,Tempo,AttemptsTotal,SuccessfulAttempts,UnsuccessfulAttempts,NeutralAttempts,Reflection
0,0,0,0,Practice for a bit,0,0,0,0,0,0,0,0
Date,Type,Time,Piece,Goals,Intent,Section,Tempo,AttemptsTotal,SuccessfulAttempts,UnsuccessfulAttempts,NeutralAttempts,Reflection
0,0,0,0,Practice for a bit,0,0,0,0,0,0,0,0
